time_s,E2g_split,E2g_cen,A1g_cen,sep,A1g_FWHM,A1g_amp,A1g_norm,J2_pct,n,split_sd,PL_area,PL_lambda,PL_rel,series
0,2.0067159997910835,386.2836484461741,407.0895614379625,20.805912991788432,5.813675215475745,186.8441957823261,,0.5446105786945978,1,,58611.627147504856,662.953778390023,1.0,"time B (Al2O3, ?W)"
10,1.9694842307954445,385.9115975561764,407.9411080079123,22.029510451735916,5.643071617287301,231.89561262770823,,0.5853018354972069,1,,16266.950313784799,681.708303843901,0.2775379409421036,"time B (Al2O3, ?W)"
20,1.8421378983410932,386.5473203796883,406.2431757569508,19.69585537726249,5.632728056693006,173.05270520896192,,0.7654239425840091,1,,26729.144376677268,677.433336964566,0.45603825857639835,"time B (Al2O3, ?W)"
30,5.783165533475312,383.32821256151243,406.8047356870604,23.476523125547942,5.38336656059525,142.55517613535298,,0.6098012142535053,1,,10215.37071206452,676.783595967511,0.1742891506211903,"time B (Al2O3, ?W)"
40,6.405346946246652,383.9351475110328,406.5257076705564,22.59056015952359,5.451467522542798,76.74101683668619,,0.9091624224319035,1,,8439.546828479819,677.425344393488,0.1439910004074865,"time B (Al2O3, ?W)"
50,2.136100056132193,385.65473406286765,406.57722749679095,20.922493433923307,5.445555952433076,166.87801550223844,,0.9255480018573415,1,,20934.713577888346,681.704310286803,0.3571768025685933,"time B (Al2O3, ?W)"
60,4.116812426567606,382.5988498378031,407.16519512913715,24.566345291334073,5.995953647105889,144.12032112880678,,1.857838667287952,1,,1554.073028867332,670.238284140089,0.026514756619130816,"time B (Al2O3, ?W)"
70,3.756437385709944,382.12178130714506,406.55726837330593,24.435487066160874,6.958485954541324,84.74924948372443,,3.2922049246389418,1,,746.6708628314541,694.735925793927,0.012739295924208794,"time B (Al2O3, ?W)"
80,4.951345632142079,381.5243271839368,407.1475869215511,25.62325973761432,6.048934525219861,149.68210301705125,,3.232032138933462,1,,607.5027150465116,694.583232640578,0.010364883976307993,"time B (Al2O3, ?W)"
90,4.844465803150172,381.57776709842494,408.13974036204615,26.561973263621212,6.7828137888304125,73.87761699704392,,3.7694236439462854,1,,106.27301019077751,694.575262155411,0.0018131728355420967,"time B (Al2O3, ?W)"
