time_s,E2g_split,E2g_cen,A1g_cen,sep,A1g_FWHM,A1g_amp,A1g_norm,J2_pct,n,split_sd,PL_area,PL_lambda,PL_rel,series
0,1.5559701318475163,383.57096083995344,402.5408219205285,18.969861080575072,4.958897821233563,332.4475294590761,0.17934094222882146,0.7386036148090289,1,,6649.115235721648,678.623719471143,1.0,"time A (SiO2, 20W)"
20,2.0381671050577097,382.9809164474712,403.5517376211829,20.570821173711693,4.844858701719683,213.19115627356962,0.12610335042625537,1.051827362422202,1,,4059.5360309590524,682.661162171411,0.6105377763870954,"time A (SiO2, 20W)"
40,3.111420107691231,382.44428994615987,403.68578292339794,21.241492977238067,5.27466184550581,202.06163111681647,0.1188093677942738,1.6481194976078453,1,,4124.269549216429,683.141306649174,0.620273435337568,"time A (SiO2, 20W)"
60,4.930709610526662,381.5346451947711,404.0786389142233,22.543993719452203,5.627385147987691,172.84173711914877,0.09571123521368756,1.9420779539745265,1,,1034.5467759553078,684.02870453088,0.15559164479468154,"time A (SiO2, 20W)"
80,5.015264513270722,381.49236774339977,404.36001455925634,22.867646815856574,5.568872884761154,113.85812758373756,0.06362185297655923,2.2557352432772406,1,,491.90117088103455,688.220353460442,0.07397994371316488,"time A (SiO2, 20W)"
100,7.414057151736074,380.8254634038339,405.8458832705806,25.020419866746693,6.170408269820207,97.1306898528034,0.05484112451248535,2.6954242718460426,1,,464.922930269409,681.204294385779,0.0699225255973398,"time A (SiO2, 20W)"
120,5.820669439424194,381.08966528028793,407.6627283919681,26.573063111680142,7.565067267631498,92.63328857909288,0.043972932917045404,2.909361371533597,1,,185.06374671868417,663.149434705948,0.027832837927736512,"time A (SiO2, 20W)"
140,6.8047265239503645,380.66429607431314,410.29895786113013,29.63466178681699,7.278384266627133,28.151019092939638,0.014962837289559897,7.7728799794404475,1,,-26.50296879009494,651.506307664603,-0.00398593915889901,"time A (SiO2, 20W)"
